tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N8314L,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8315C,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8315C,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8316H,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8316H,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8316H,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8317M,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8317M,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8318F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8318F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8319F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8319F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8319F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N831AW,2001.0,Fixed wing multi engine,AIRBUS,A319-132,2.0,179.0,,Turbo-jet
N831DN,,,BOEING,737-932ER           ,,,,
N831MH,2000.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N831UA,2000.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N8320J,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8320J,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8320J,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8321D,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8321D,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8322X,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8322X,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8322X,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8322X,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8323C,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8324A,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8324A,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8324A,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8325D,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8325D,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8325D,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8326F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8326F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8327A,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8327A,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8328A,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8328A,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8329B,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8329B,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8329B,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8329B,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N832AW,,,AIRBUS,A319-132            ,,,,
N832DN,,,BOEING,737-932ER           ,,,,
N832UA,2000.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N833AW,,,AIRBUS,A319-132            ,,,,
N833DN,,,BOEING,737-932ER           ,,,,
N833MH,,,BOEING,767-432ER           ,,,,
N833UA,2000.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N834AS,1998.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N834AS,1998.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N834AW,,Fixed wing multi engine,AIRBUS,A319-132,2.0,179.0,,Turbo-fan
N834DN,,,BOEING,737-932ER           ,,,,
N834JB,2013.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,,Turbo-fan
N834MH,2000.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N834UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N835AS,1998.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N835AS,1998.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N835AS,1998.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N835AW,,Fixed wing multi engine,AIRBUS,A319-132,2.0,179.0,,Turbo-fan
N835DN,,,BOEING,737-932ER           ,,,,
N835MH,2000.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N835UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N836AW,2005.0,Fixed wing multi engine,AIRBUS,A319-132,2.0,179.0,,Turbo-fan
N836DN,,,BOEING,737-932ER           ,,,,
N836MH,,,BOEING,767-432ER           ,,,,
N836UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N837AW,2005.0,Fixed wing multi engine,AIRBUS,A319-132,2.0,179.0,,Turbo-fan
N837DN,,,BOEING,737-932ER           ,,,,
N837MH,2000.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N837UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N837VA,2011.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N838AW,2005.0,Fixed wing multi engine,AIRBUS,A319-132,2.0,179.0,,Turbo-fan
N838DN,,,BOEING,737-932ER           ,,,,
N838MH,2001.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N838UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N839AW,,,AIRBUS,A319-132            ,,,,
N839DN,,,BOEING,737-932ER           ,,,,
N839MH,2001.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N839UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N839VA,2011.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N840AW,,,AIRBUS,A319-132            ,,,,
N840DN,,,BOEING,737-932ER           ,,,,
N840MH,2001.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N840UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N841DN,,,BOEING,737-932ER           ,,,,
N841MH,2001.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N841UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N842DN,,,BOEING,737-932ER           ,,,,
N842MH,2001.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N842UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N843DN,,,BOEING,737-932ER           ,,,,
N843MH,2002.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N843UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N843VA,2011.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N844DN,,,BOEING,737-932ER           ,,,,
N844MH,2002.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N844UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N845DN,,,BOEING,737-932ER           ,,,,
N845MH,2002.0,Fixed wing multi engine,BOEING,767-432ER,2.0,300.0,,Turbo-jet
N845UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N845VA,2011.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N846DN,,,BOEING,737-932ER           ,,,,
N846UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N846VA,2011.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N847DN,,,BOEING,737-932ER           ,,,,
N847UA,2001.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N847VA,2011.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N848DN,,,BOEING,737-932ER           ,,,,
N848UA,2002.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N848VA,2011.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N849AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N849DN,,,BOEING,737-932ER           ,,,,
N849UA,2002.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N849VA,2012.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N850AA,,,SOCATA,TBM 700             ,,,,
N850AA,,,BOEING,727-223             ,,,,
N850DN,,,BOEING,737-932ER           ,,,,
N850UA,2002.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N851NW,2004.0,Fixed wing multi engine,AIRBUS,A330-223,2.0,379.0,,Turbo-jet
N851UA,2002.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N852UA,2002.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N852VA,2012.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N853NW,,,AIRBUS,A330-223            ,,,,
N853UA,2002.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N853VA,2012.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N854AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N854NW,2004.0,Fixed wing multi engine,AIRBUS,A330-223,3.0,379.0,,Turbo-fan
N854UA,2002.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N854VA,2012.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N855NW,,,AIRBUS,A330-223            ,,,,
N855UA,2002.0,Fixed wing multi engine,AIRBUS,A319-131,2.0,179.0,,Turbo-jet
N855VA,2012.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,,Turbo-fan
N856AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N856NW,2004.0,Fixed wing multi engine,AIRBUS,A330-223,3.0,379.0,,Turbo-fan
N857NW,,,AIRBUS,A330-223            ,,,,
N858AA,,,AIR TRACTOR,AT-802A             ,,,,
N858AA,,,BOEING,727-223             ,,,,
N858NW,,,AIRBUS,A330-223            ,,,,
N859NW,,,AIRBUS,A330-223            ,,,,
N8600F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8600F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8601C,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8601C,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8602F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8602F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8603F,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8604K,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8604K,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8605E,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8605E,2012.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8606C,,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8606C,,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8607M,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8607M,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8608N,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8609A,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8609A,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N860DA,,,BOEING,777-232             ,,,,
N860NW,,,AIRBUS,A330-223            ,,,,
N8610A,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8610A,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8610A,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8611F,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8612K,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8612K,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8613K,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8613K,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8614M,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8615E,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8615E,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8616C,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8616C,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8616C,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8617E,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8617E,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8618N,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8618N,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8618N,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8619F,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8619F,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N861DA,,,BOEING,777-232             ,,,,
N861NW,,,AIRBUS,A330-223            ,,,,
N8620H,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8620H,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8621A,2013.0,Fixed wing multi engine,BOEING,737-8H4,2.0,140.0,,Turbo-fan
N8622A,,,BOEING,737-8H4             ,,,,
N8622A,,,ENSTROM,F-28F               ,,,,
N8623F,,,BOEING,737-8H4             ,,,,
N8624J,,,BOEING,737-8H4             ,,,,
N8624J,,,CESSNA,150G                ,,,,
N8625A,,,BOEING,737-8H4             ,,,,
N8625A,,,ENSTROM,F-28F               ,,,,
N8626B,,,BOEING,737-8H4             ,,,,
N8626B,,,CESSNA,172,,,,
N8627B,,,BOEING,737-8H4             ,,,,
N8627B,,,CESSNA,172,,,,
N8628A,,,BOEING,737-8H4             ,,,,
N8628A,,,ENSTROM,280FX               ,,,,
N8628A,,,BEECH,D18S                ,,,,
N8629A,,,BOEING,737-8H4             ,,,,
N8629A,,,ENSTROM HELICOPTER,480,,,,
N862DA,1999.0,Fixed wing multi engine,BOEING,777-232,2.0,400.0,,Turbo-jet
N8630B,,,BOEING,737-8H4             ,,,,
N8631A,,,BOEING,737-8H4             ,,,,
N8631A,,,BEECH,A35                 ,,,,
N8631A,,,ENSTROM HELICOPTER,480,,,,
N8632A,,,BOEING,737-8H4             ,,,,
N8632A,,,BEECH,A35                 ,,,,
N8633A,,,BOEING,737-8H4             ,,,,
N8634A,,,BOEING,737-8H4             ,,,,
N8634A,,,BEECH,A35                 ,,,,
N8635F,,,BOEING,737-8H4             ,,,,
N8635F,,,HUGHES,369D                ,,,,
N8637A,,,BOEING,737-8H4             ,,,,
N8637A,,,BEECH,A35                 ,,,,
N8638A,,,BOEING,737-8H4             ,,,,
N8638A,,,BEECH,A35                 ,,,,
N8639B,,,BOEING,737-8H4             ,,,,
N8639B,,,CESSNA,172,,,,
N863DA,1999.0,Fixed wing multi engine,BOEING,777-232,2.0,400.0,,Turbo-jet
N8640D,,,BOEING,737-8H4             ,,,,
N8640D,,,PIPER,PA-22-150           ,,,,
N8641B,,,BOEING,737-8H4             ,,,,
N8641B,,,CESSNA,172,,,,
N8642E,,,BOEING,737-8H4             ,,,,
N8643A,,,BOEING,737-8H4             ,,,,
N8644C,,,BOEING,737-8H4             ,,,,
N8644C,,,PIPER,PA-22               ,,,,
N8645A,,,BOEING,737-8H4             ,,,,
N8645A,,,BEECH,A35                 ,,,,
N8646B,,,BOEING,737-8H4             ,,,,
N8647A,,,BOEING,737-8H4             ,,,,
N8647A,,,BEECH,A35                 ,,,,
N8648A,,,BOEING,737-8H4             ,,,,
N8649A,,,BOEING,737-8H4             ,,,,
N8649A,,,BEECH,A35                 ,,,,
N864DA,,,BOEING,777-232             ,,,,
N8650F,,,BOEING,737-8H4             ,,,,
N8651A,,,BOEING,737-8H4             ,,,,
N8651A,,,BEECH,A35                 ,,,,
N8652B,,,BOEING,737-8H4             ,,,,
N8652B,,,CESSNA,172,,,,
N8653A,,,BOEING,737-8H4             ,,,,
N8653A,,,BEECH,A35                 ,,,,
N8654B,,,BOEING,737-8H4             ,,,,
N8654B,,,CESSNA,172,,,,
N8655D,,,BOEING,737-8H4             ,,,,
N8655D,,,PIPER,PA-22               ,,,,
N8656B,,,BOEING,737-8H4             ,,,,
N8656B,,,CESSNA,172,,,,
N8657B,,,BOEING,737-8H4             ,,,,
N8657B,,,CESSNA,172,,,,
N8658A,,,BOEING,737-8H4             ,,,,
N8659D,,,BOEING,737-8H4             ,,,,
N8659D,,,PIPER,PA-22-160           ,,,,
N8660A,,,BOEING,737-8H4             ,,,,
N8660A,,,BEECH,A35                 ,,,,
N8661A,,,BOEING,737-8H4             ,,,,
N8661A,,,BEECH,A35                 ,,,,
N8662F,,,BOEING,737-8H4             ,,,,
N8662F,,,HUGHES,369D                ,,,,
N8663A,,,BOEING,737-8H4             ,,,,
N8663A,,,BEECH,A35                 ,,,,
N8664J,,,BOEING,737-8H4             ,,,,
N8665D,,,BOEING,737-8H4             ,,,,
N8665D,,,PIPER,PA-22-160           ,,,,
N8667D,,,BOEING,737-8H4             ,,,,
N8667D,,,PIPER,PA-22-150           ,,,,
N8668A,,,BOEING,737-8H4             ,,,,
N8668A,,,BEECH,A35                 ,,,,
N8669B,,,BOEING,737-8H4             ,,,,
N8669B,,,CESSNA,172,,,,
N866DA,,,BOEING,777-232             ,,,,
N8670A,,,BOEING,737-8H4             ,,,,
N8670A,,,BEECH,A35                 ,,,,
N8671D,,,BOEING,737-8H4             ,,,,
N8671D,,,PIPER,PA-18A              ,,,,
N8672F,,,BOEING,737-8H4             ,,,,
N8672F,,,HUGHES,369D                ,,,,
N8673F,,,BOEING,737-8H4             ,,,,
N8674B,,,BOEING,737-8H4             ,,,,
N8675A,,,BOEING,737-8H4             ,,,,
N8675A,,,BEECH,A35                 ,,,,
N8676A,,,BOEING,737-8H4             ,,,,
N8676A,,,BEECH,A35                 ,,,,
N867AA,,,CESSNA,172M                ,,,,
N867AA,,,BOEING,727-223             ,,,,
N868AA,,,DASSAULT AVIATION,FALCON 900EX        ,,,,
N868AA,,,DASSAULT AVIATION,FALCON 900EX        ,,,,
N868AA,,,BOEING,727-223             ,,,,
N871AS,2001.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N873AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N874AA,,,BOEING,727-223             ,,,,
N874AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N875AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N876AA,,,CIRRUS DESIGN,SR22                ,,,,
N876AA,,,BOEING,727-223             ,,,,
N876AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N877AA,,,TEXTRON AVIATION,172S                ,,,,
N877AA,,,BOEING,727-223             ,,,,
N877AA,,,CESSNA,208,,,,
N877AS,2001.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N878AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N879AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N880AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N881AS,2001.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N8828D,2003.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N8828D,2003.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N883AA,,,PILATUS AIRCRAFT,PC-12/47E           ,,,,
N883AA,,,BOEING,727-223             ,,,,
N885AA,,,EXTRA FLUGZEUGBAU GMBH,EA-400              ,,,,
N885AA,,,BOEING,727-223             ,,,,
N886AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N8884E,2003.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N889AS,,,BOMBARDIER,CL-600-2B19         ,,,,
N8903A,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N8903A,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N891AT,2004.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,,Turbo-fan
N8923A,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N892AT,2004.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,,Turbo-fan
N8932C,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N8932C,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N8932C,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N8933B,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N893AT,2004.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,,Turbo-fan
N8942A,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N894AT,2004.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,,Turbo-fan
N895AT,2004.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,,Turbo-fan
N8965E,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N8968E,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N896AT,2005.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,,Turbo-fan
N896SK,,,BOMBARDIER,CL-600-2D24         ,,,,
N897SK,,,BOMBARDIER,CL-600-2D24         ,,,,
N8982A,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N8982A,2004.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N898SK,,,BOMBARDIER,CL-600-2D24         ,,,,
N899AT,2005.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,,Turbo-fan
N899SK,,,BOMBARDIER,CL-600-2D24         ,,,,
N900EV,2002.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N900PC,1997.0,Fixed wing multi engine,BOEING,757-26D,2.0,178.0,,Turbo-jet
N900PC,1997.0,Fixed wing multi engine,BOEING,757-26D,2.0,178.0,,Turbo-jet
N900WN,2007.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N901EV,,,BOMBARDIER,CL-600-2B19         ,,,,
N901WN,2007.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N902EV,,,BOMBARDIER,CL-600-2B19         ,,,,
N902WN,2007.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N903EV,,,BOMBARDIER,CL-600-2B19         ,,,,
N903JB,2013.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N903WN,2007.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N904EV,,,BOMBARDIER,CL-600-2B19         ,,,,
N904WN,2008.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N905EV,,,BOMBARDIER,CL-600-2B19         ,,,,
N905JB,,,AIRBUS,A321-231            ,,,,
N906AT,2001.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,,Turbo-fan
N906EV,,,BOMBARDIER,CL-600-2B19         ,,,,
N906WN,2008.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N907EV,,,BOMBARDIER,CL-600-2B19         ,,,,
N907JB,2013.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,,Turbo-fan
N907WN,2008.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N908EV,,,BOMBARDIER,CL-600-2B19         ,,,,
N908SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N908SW,,,CESSNA,210B                ,,,,
N908WN,2008.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N909EV,2002.0,Fixed wing multi engine,BOMBARDIER,CL-600-2B19,2.0,55.0,,Turbo-fan
N909SW,,,BOMBARDIER,CL-600-2B19         ,,,,
N909WN,2008.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,,Turbo-fan
N910AT,2001.0,Fixed wing multi engine,BOEING,717-200,2.0,100.0,,Turbo-fan
N910AW,,,BOEING,757-2G7             ,,,,
